 -----Test Name  T3-2015 Blonde Monent,,,,,,,,,,
 -----Measure Parameters    PTVEC,,,,,,,,,,
 -----Test Code  T3,,,,,,,,,,
 -----Scan Type   Linear,,,,,,,,,,
 -----Periods  00_00:10:00.00,,,,,,,,,,
 -----Memory Wrap  True,,,,,,,,,,
 -----Broadcast Normal Log  False,,,,,,,,,,
 -----Broadcast Alarm Log  False,,,,,,,,,,
 -----Alarm Scan  Disabled,,,,,,,,,,
 -----Scanned Upto =  30000,,,,,,,,,,
 -----Firmware Version  2.4,,,,,,,,,,
 -----TruWare v1.78,,,,,,,,,,
 ,,,,,,,,,,
 ,,,,,,,,,,
ID,Name,Address,Time of Acquisition,Elapsed(Sec),Level(cmH2O),Temperature ('C),Battery Voltage(Volt),Supply Voltage(Volt),Conductivity(uS/cm),Scan No
0,1404704,0,'11/18/2015 12:25:00.00 AM,15222300,13.92306909,9.493,3.516,0,144.2,23365
0,1404704,0,'11/18/2015 12:40:00.00 AM,15223200,13.90569839,9.499,3.516,0,144.2,23366
0,1404704,0,'11/18/2015 12:55:00.00 AM,15224100,13.91821654,9.502,3.516,0,144.1,23367
0,1404704,0,'11/18/2015 01:10:00.00 AM,15225000,13.91216845,9.499,3.516,0,144.1,23368
0,1404704,0,'11/18/2015 01:25:00.00 AM,15225900,13.9091444,9.496,3.516,0,143.8,23369
0,1404704,0,'11/18/2015 01:40:00.00 AM,15226800,13.89957997,9.504,3.516,0,144.1,23370
0,1404704,0,'11/18/2015 01:55:00.00 AM,15227700,13.88502234,9.501,3.516,0,143.4,23371
0,1404704,0,'11/18/2015 02:10:00.00 AM,15228600,13.88284221,9.492,3.516,0,144.2,23372
0,1404704,0,'11/18/2015 02:25:00.00 AM,15229500,13.8896639,9.499,3.516,0,144.2,23373
0,1404704,0,'11/18/2015 02:40:00.00 AM,15230400,13.88783541,9.492,3.516,0,144.3,23374
0,1404704,0,'11/18/2015 02:55:00.00 AM,15231300,13.86448694,9.5,3.516,0,144.3,23375
0,1404704,0,'11/18/2015 03:10:00.00 AM,15232200,13.8596344,9.497,3.516,0,144.4,23376
0,1404704,0,'11/18/2015 03:25:00.00 AM,15233100,13.85569611,9.492,3.516,0,144.5,23377
0,1404704,0,'11/18/2015 03:40:00.00 AM,15234000,13.85302369,9.5,3.516,0,144.6,23378
0,1404704,0,'11/18/2015 03:55:00.00 AM,15234900,13.86814393,9.494,3.516,0,144.7,23379
0,1404704,0,'11/18/2015 04:10:00.00 AM,15235800,13.84606135,9.495,3.516,0,144.8,23380
0,1404704,0,'11/18/2015 04:25:00.00 AM,15236700,13.8438109,9.491,3.516,0,143.1,23381
0,1404704,0,'11/18/2015 04:40:00.00 AM,15237600,13.84233403,9.49,3.516,0,144.9,23382
0,1404704,0,'11/18/2015 04:55:00.00 AM,15238500,13.82418975,9.501,3.516,0,145,23383
0,1404704,0,'11/18/2015 05:10:00.00 AM,15239400,13.84465482,9.494,3.516,0,144.9,23384
0,1404704,0,'11/18/2015 05:25:00.00 AM,15240300,13.84690527,9.51,3.516,0,145,23385
0,1404704,0,'11/18/2015 05:40:00.00 AM,15241200,13.82447105,9.496,3.516,0,145,23386
0,1404704,0,'11/18/2015 05:55:00.00 AM,15242100,13.8317147,9.492,3.516,0,145.2,23387
0,1404704,0,'11/18/2015 06:10:00.00 AM,15243000,13.8335432,9.495,3.516,0,145.3,23388
0,1404704,0,'11/18/2015 06:25:00.00 AM,15243900,13.82622922,9.5,3.516,0,145.4,23389
0,1404704,0,'11/18/2015 06:40:00.00 AM,15244800,13.82046243,9.488,3.516,0,145.5,23390
0,1404704,0,'11/18/2015 06:55:00.00 AM,15245700,13.80703003,9.495,3.516,0,145.6,23391
0,1404704,0,'11/18/2015 07:10:00.00 AM,15246600,13.80913983,9.503,3.516,0,145.7,23392
0,1404704,0,'11/18/2015 07:25:00.00 AM,15247500,13.79359763,9.504,3.516,0,145.7,23393
0,1404704,0,'11/18/2015 07:40:00.00 AM,15248400,13.80660807,9.494,3.516,0,145.8,23394
0,1404704,0,'11/18/2015 07:55:00.00 AM,15249300,13.79233175,9.498,3.516,0,145.8,23395
0,1404704,0,'11/18/2015 08:10:00.00 AM,15250200,13.78325961,9.489,3.516,0,145.9,23396
0,1404704,0,'11/18/2015 08:25:00.00 AM,15251100,13.79254273,9.491,3.516,0,146,23397
0,1404704,0,'11/18/2015 08:40:00.00 AM,15252000,13.80147422,9.499,3.516,0,146.2,23398
0,1404704,0,'11/18/2015 08:55:00.00 AM,15252900,13.79802821,9.495,3.516,0,146.2,23399
0,1404704,0,'11/18/2015 09:10:00.00 AM,15253800,13.80576415,9.495,3.516,0,146.3,23400
0,1404704,0,'11/18/2015 09:25:00.00 AM,15254700,13.78030588,9.492,3.516,0,146.2,23401
0,1404704,0,'11/18/2015 09:40:00.00 AM,15255600,13.79493384,9.497,3.516,0,146.3,23402
0,1404704,0,'11/18/2015 09:55:00.00 AM,15256500,13.7995754,9.489,3.516,0,146.5,23403
0,1404704,0,'11/18/2015 10:10:00.00 AM,15257400,13.7624429,9.485,3.516,0,146.5,23404
0,1404704,0,'11/18/2015 10:25:00.00 AM,15258300,13.75998147,9.5,3.516,0,146.6,23405
0,1404704,0,'11/18/2015 10:40:00.00 AM,15259200,13.76828002,9.493,3.516,0,146.5,23406
0,1404704,0,'11/18/2015 10:55:00.00 AM,15260100,13.74851822,9.487,3.516,0,146.9,23407
0,1404704,0,'11/18/2015 11:10:00.00 AM,15261000,13.74352502,9.489,3.516,0,146.8,23408
0,1404704,0,'11/18/2015 11:25:00.00 AM,15261900,13.75913755,9.488,3.516,0,145.8,23409
0,1404704,0,'11/18/2015 11:40:00.00 AM,15262800,13.73522647,9.487,3.516,0,146.9,23410
0,1404704,0,'11/18/2015 11:55:00.00 AM,15263700,13.7497841,9.483,3.516,0,146.8,23411
0,1404704,0,'11/18/2015 12:10:00.00 PM,15264600,13.74943246,9.494,3.516,0,147,23412
